exit_date,cumulative_pnl
2023-08-16,-5000.0
2023-08-17,-12810.0
2023-08-18,-12810.0
2023-08-21,-14140.0
2023-08-23,-13020.0
2023-08-24,-28300.0
2023-08-25,-31070.0
2023-08-28,-48820.0
2023-08-29,-68820.0
2023-08-30,-71500.0
2023-08-31,-76500.0
2023-09-01,-76500.0
2023-09-04,-81500.0
2023-09-05,-101500.0
2023-09-06,-116500.0
2023-09-07,-126500.0
2023-09-08,-130520.0
2023-09-11,-130520.0
2023-09-12,-178210.0
2023-09-13,-121990.0
2023-09-14,-98790.0
2023-09-15,-98370.0
2023-09-18,-93920.0
2023-09-20,-104120.0
2023-09-21,-125730.0
2023-09-22,-88820.0
2023-09-25,-76990.0
2023-09-26,-53750.0
2023-09-27,-61850.0
2023-09-28,-66490.0
2023-09-29,-65850.0
2023-10-03,-67880.0
2023-10-04,-82250.0
2023-10-05,-74190.0
2023-10-09,-79760.0
2023-10-10,-84150.0
2023-10-11,-79930.0
2023-10-12,-81220.0
2023-10-13,-83690.0
2023-10-16,-88620.0
2023-10-17,-90430.0
2023-10-18,-95430.0
2023-10-19,-67350.0
2023-10-20,-77350.0
2023-10-23,-145510.0
2023-10-25,-135670.0
2023-10-26,-153840.0
2023-10-27,-92270.0
2023-10-30,-96490.0
2023-10-31,-99680.0
2023-11-01,-105310.0
2023-11-02,-105160.0
2023-11-03,-108910.0
2023-11-06,-122680.0
2023-11-07,-123400.0
2023-11-09,-137730.0
2023-11-10,-77930.0
2023-11-15,-82930.0
2023-11-16,-82930.0
2023-11-17,-107840.0
2023-11-20,-114850.0
2023-11-21,-114850.0
2023-11-22,-139850.0
2023-11-23,-154850.0
2023-11-24,-154850.0
2023-11-28,-152680.0
2023-11-29,-157680.0
2023-11-30,-155620.0
2023-12-01,-145640.0
2023-12-04,-87240.0
2023-12-05,-92240.0
2023-12-06,-68800.0
2023-12-07,-77470.0
2023-12-08,-91910.0
2023-12-11,-102140.0
2023-12-12,-94660.0
2023-12-13,-92010.0
2023-12-15,-84620.0
2023-12-18,-44710.0
2023-12-19,-45530.0
2023-12-20,-111520.0
2023-12-21,2650.0
2023-12-22,4620.0
2023-12-26,-4160.0
2023-12-27,-6710.0
2023-12-28,3670.0
2023-12-29,-1250.0
2024-01-02,-4009.9999999999995
2024-01-03,-10290.0
2024-01-04,13370.000000000004
2024-01-05,21600.000000000004
2024-01-08,20490.000000000004
2024-01-09,11340.000000000004
2024-01-10,69460.0
2024-01-12,64460.0
2024-01-15,59460.0
