exit_date,cumulative_pnl
2023-08-25,-26350.0
2023-08-29,-33160.0
2023-08-30,-44860.0
2023-09-05,-55390.0
2023-09-07,-64930.0
2023-09-08,-76700.0
2023-09-11,-83240.0
2023-09-12,-293960.0
2023-09-13,-325820.0
2023-09-14,-332110.0
2023-09-18,-342980.0
2023-09-20,-346220.0
2023-09-21,-380390.0
2023-09-22,-388700.0
2023-09-25,-403880.0
2023-09-29,-413170.0
2023-10-03,-426930.0
2023-10-04,-432610.0
2023-10-05,-452080.0
2023-10-06,-452330.0
2023-10-09,-507950.0
2023-10-10,-529710.0
2023-10-11,-528780.0
2023-10-16,-532840.0
2023-10-17,-538440.0
2023-10-19,-553290.0
2023-10-23,-640830.0
2023-10-25,-709320.0
2023-10-26,-710770.0
2023-10-27,-715820.0
2023-10-30,-704770.0
2023-10-31,-709960.0
2023-11-01,-714360.0
2023-11-02,-720140.0
2023-11-06,-729850.0
2023-11-07,-733620.0
2023-11-08,-741410.0
2023-11-10,-752760.0
2023-11-13,-736020.0
2023-11-15,-712970.0
2023-11-16,-700350.0
2023-11-17,-705320.0
2023-11-20,-715020.0
2023-11-22,-742950.0
2023-11-23,-748480.0
2023-11-24,-766690.0
2023-11-29,-775120.0
2023-11-30,-786250.0
2023-12-01,-793470.0
2023-12-04,-778550.0
2023-12-06,-790980.0
2023-12-07,-781850.0
2023-12-08,-787460.0
2023-12-11,-795230.0
2023-12-13,-787980.0
2023-12-14,-800890.0
2023-12-15,-810870.0
2023-12-18,-812560.0
2023-12-19,-822260.0
2023-12-20,-967480.0
2023-12-21,-960400.0
2023-12-22,-961350.0
2023-12-27,-910320.0
2023-12-29,-919280.0
2024-01-01,-994110.0
2024-01-02,-992270.0
2024-01-08,-1005340.0
2024-01-09,-1004400.0
2024-01-11,-996170.0
2024-01-12,-983650.0
2024-01-15,-999670.0
2024-01-16,-950010.0
2024-01-17,-982210.0
2024-01-18,-986980.0
2024-01-19,-947530.0
2024-01-23,-1003080.0
2024-01-24,-939260.0
2024-01-25,-942890.0
2024-01-29,-948820.0
2024-01-30,-932720.0
2024-02-01,-906250.0
2024-02-02,-912930.0
2024-02-05,-911720.0
2024-02-06,-920930.0
2024-02-07,-924620.0
2024-02-08,-925180.0
2024-02-09,-958420.0
2024-02-12,-1000000.0
2024-02-13,-777010.0
2024-02-14,-697500.0
2024-02-15,-696290.0
2024-02-19,-660370.0
2024-02-22,-636670.0
2024-02-23,-636330.0
2024-02-26,-639160.0
2024-02-27,-652330.0
2024-02-28,-699700.0
2024-02-29,-414660.0
2024-03-01,-420890.0
2024-03-04,-425410.0
2024-03-05,-472780.0
2024-03-06,-511170.0
2024-03-07,-383670.0
2024-03-11,-430870.0
2024-03-12,-433030.0
2024-03-13,-54070.0
2024-03-14,328060.0
2024-03-15,318700.0
2024-03-18,442790.0
2024-03-19,436210.0
2024-03-20,408700.0
2024-03-21,422560.0
2024-03-22,473900.0
2024-04-09,471510.0
2024-04-12,466220.0
2024-04-15,454220.0
2024-04-16,437920.0
2024-04-19,420390.0
2024-04-22,459340.0
2024-04-23,450820.0
2024-04-25,429790.0
2024-04-26,420690.0
2024-04-30,421490.0
2024-05-03,400200.0
2024-05-06,414260.0
2024-05-07,470530.0
2024-05-08,479820.0
2024-05-09,515580.0
2024-05-10,484850.0
2024-05-13,456860.0
2024-05-14,452650.0
2024-05-17,459660.0
2024-05-21,477330.0
2024-05-22,469970.0
2024-05-23,460050.0
2024-05-27,442860.0
2024-05-28,411050.0
2024-05-29,533050.0
2024-05-30,602760.0
2024-05-31,583500.0
2024-06-03,586800.0
2024-06-04,234590.0
2024-06-05,329120.0
2024-06-10,330540.0
2024-06-13,328230.0
2024-06-14,319700.0
2024-06-24,285810.0
2024-06-25,277410.0
2024-06-26,257090.0
2024-06-27,245790.0
2024-06-28,236240.0
2024-07-01,227300.0
2024-07-03,246930.0
2024-07-08,227000.0
2024-07-09,207380.0
2024-07-10,174200.0
2024-07-11,133710.0
2024-07-12,127380.0
2024-07-15,145810.0
2024-07-16,172410.0
2024-07-18,142330.0
2024-07-19,99260.0
2024-07-22,142070.0
2024-07-23,37170.0
2024-07-24,45140.0
2024-07-25,87760.0
2024-07-26,104600.0
2024-07-30,102460.0
2024-07-31,101710.0
2024-08-01,130050.0
2024-08-02,139670.0
2024-08-05,25660.0
2024-08-06,150020.0
2024-08-07,360380.0
2024-08-08,349680.0
2024-08-09,356530.0
2024-08-12,353320.0
2024-08-13,424090.0
2024-08-14,396110.0
2024-08-16,384510.0
2024-08-19,376820.0
2024-08-21,456100.0
2024-08-27,461300.0
2024-08-28,437560.0
2024-08-29,430510.0
2024-09-02,420930.0
2024-09-03,499510.0
2024-09-04,493080.0
2024-09-06,467820.0
2024-09-09,556650.0
2024-09-10,550220.0
2024-09-11,543950.0
2024-09-12,544430.0
2024-09-13,538360.0
2024-09-16,521680.0
2024-09-17,624260.0
2024-09-18,599690.0
2024-09-19,591580.0
2024-09-20,627450.0
2024-09-23,627620.0
2024-09-24,600860.0
2024-09-25,584520.0
2024-09-26,579190.0
2024-09-27,552310.0
2024-09-30,568430.0
2024-10-01,594410.0
2024-10-03,545130.0
2024-10-04,475710.0
2024-10-07,405690.0
2024-10-08,726200.0
2024-10-09,718120.0
2024-10-10,711860.0
2024-10-11,714100.0
2024-10-14,698990.0
2024-10-15,694800.0
2024-10-17,685350.0
2024-10-18,643850.0
2024-10-21,617940.0
2024-10-22,549180.0
2024-10-23,628900.0
2024-10-24,679160.0
2024-10-25,712240.0
2024-10-28,951310.0
2024-10-29,971930.0
2024-10-30,951050.0
2024-10-31,948250.0
2024-11-01,946560.0
2024-11-05,936200.0
2024-11-06,938260.0
2024-11-07,937210.0
2024-11-08,967050.0
2024-11-11,933430.0
2024-11-12,908110.0
2024-11-13,988160.0
2024-11-14,1051510.0
2024-11-18,1043430.0
2024-11-21,1035520.0
2024-11-25,1036150.0
2024-11-27,1034490.0
2024-12-02,1029620.0
2024-12-03,1029000.0
2024-12-04,1026780.0
2024-12-05,1018140.0
2024-12-10,1055700.0
2024-12-11,1103580.0
2024-12-13,1089830.0
2024-12-16,1082140.0
2024-12-18,1047140.0
2024-12-19,1053830.0
2024-12-20,974680.0
2024-12-23,1078980.0
2024-12-24,1080050.0
2024-12-26,1074650.0
2024-12-27,1079600.0
2024-12-30,1076510.0
2024-12-31,1052220.0
2025-01-06,1037510.0
2025-01-07,1046080.0
2025-01-08,1022340.0
2025-01-09,1057580.0
2025-01-10,1082910.0
2025-01-13,1397500.0
2025-01-14,1566940.0
2025-01-15,1560690.0
2025-01-17,1556750.0
2025-01-20,1550400.0
2025-01-22,1568140.0
2025-01-23,1595550.0
2025-01-24,1593810.0
2025-01-28,1598640.0
2025-01-29,1686160.0
2025-02-27,1698040.0
2025-04-04,1737110.0
2025-04-25,1719350.0
2025-04-28,1712490.0
2025-04-29,1706290.0
2025-05-02,1685740.0
2025-05-07,1678210.0
2025-05-09,1613120.0
2025-05-12,1612880.0
2025-05-14,1609370.0
2025-05-19,1606620.0
2025-05-21,1601930.0
2025-05-23,1601700.0
2025-05-26,1595330.0
2025-05-27,1583360.0
2025-05-28,1579000.0
2025-05-29,1569330.0
2025-05-30,1555330.0
2025-06-02,1546560.0
2025-06-03,1524570.0
2025-06-04,1522140.0
2025-06-05,1518270.0
2025-06-11,1512380.0
2025-06-12,1505210.0
2025-06-13,1462160.0
2025-06-16,1437860.0
2025-06-17,1428650.0
2025-06-18,1419650.0
2025-06-19,1391280.0
2025-06-20,1353580.0
2025-06-24,1377990.0
2025-06-30,1377430.0
2025-07-01,1386050.0
2025-07-02,1387460.0
2025-07-03,1378560.0
2025-07-04,1367520.0
2025-07-07,1359590.0
2025-07-08,1355750.0
2025-07-09,1352090.0
2025-07-10,1348230.0
2025-07-11,1328370.0
2025-07-14,1300980.0
2025-07-15,1288360.0
2025-07-16,1280820.0
2025-07-17,1265920.0
2025-07-18,1261050.0
2025-07-21,1253690.0
2025-07-22,1244590.0
2025-07-23,1239590.0
2025-07-24,1216140.0
2025-07-25,1182740.0
2025-07-28,1149130.0
2025-07-29,1129550.0
2025-07-30,1123890.0
2025-07-31,1103170.0
2025-08-01,1087980.0
2025-08-04,1050840.0
2025-08-05,1039790.0
2025-08-06,997970.0
2025-08-07,975460.0
2025-08-08,961880.0
2025-08-11,978270.0
2025-08-12,973320.0
2025-08-13,975200.0
2025-08-14,972340.0
2025-08-18,960480.0
2025-08-19,955110.0
2025-08-20,954110.0
2025-08-21,954880.0
2025-08-22,946670.0
2025-08-25,942850.0
2025-08-26,937750.0
2025-08-28,912740.0
2025-08-29,920100.0
2025-09-01,928900.0
2025-09-02,961640.0
2025-09-03,955400.0
2025-09-05,947910.0
2025-09-08,939480.0
2025-09-09,941070.0
2025-09-10,934610.0
2025-09-11,921490.0
2025-09-12,908490.0
2025-09-15,928800.0
2025-09-16,919660.0
2025-09-17,907370.0
2025-09-18,902870.0
2025-09-19,924660.0
2025-09-22,906460.0
2025-09-23,954430.0
2025-09-24,919110.0
2025-09-25,912470.0
2025-09-26,818290.0
2025-09-29,827420.0
2025-09-30,834500.0
2025-10-01,856960.0
2025-10-03,853600.0
2025-10-06,844690.0
2025-10-07,842660.0
2025-10-08,833320.0
2025-10-09,829050.0
2025-10-10,830720.0
2025-10-13,824940.0
2025-10-14,792570.0
2025-10-15,783660.0
2025-10-16,781660.0
2025-10-17,779440.0
2025-10-20,745800.0
2025-10-21,771700.0
2025-10-23,763090.0
2025-10-24,766200.0
2025-10-27,740100.0
2025-10-28,732700.0
2025-10-29,717330.0
2025-10-30,697670.0
2025-10-31,731490.0
2025-11-03,735460.0
2025-11-04,734680.0
2025-11-06,721690.0
2025-11-07,743050.0
2025-11-10,723940.0
2025-11-11,707290.0
2025-11-12,697900.0
2025-11-13,689110.0
2025-11-14,682020.0
2025-11-17,714380.0
2025-11-18,716430.0
2025-11-19,725950.0
2025-11-20,751460.0
2025-11-21,736030.0
2025-11-24,729670.0
2025-11-25,768870.0
2025-11-26,766800.0
2025-11-27,761510.0
2025-12-01,742790.0
2025-12-02,729060.0
2025-12-03,696910.0
2025-12-04,712660.0
2025-12-05,681190.0
2025-12-08,695800.0
