ticker,signal_date,entry_date,exit_date,entry,exit,reason,bars,init_stop_pct,ret_pct,net_pct,mfe_pct,mae_pct,reached_be
360ONE,2024-06-27,2024-06-28,2024-07-15,920.87,918.96,ema,11,-7.67,-0.21,-0.61,13.42,-2.0,False
360ONE,2024-07-15,2024-07-16,2024-07-22,952.3,946.32,ema,3,-9.54,-0.63,-1.03,3.34,-1.89,False
360ONE,2024-07-29,2024-07-30,2024-08-06,1056.7,1003.25,ema,5,-8.3,-5.06,-5.46,12.76,-6.63,False
360ONE,2024-10-11,2024-10-14,2024-10-23,1046.04,998.11,ema,7,-9.2,-4.58,-4.98,7.49,-4.75,False
360ONE,2024-10-24,2024-10-25,2024-10-28,1013.15,999.73,ema,1,-9.99,-1.32,-1.72,1.5,-4.71,False
360ONE,2024-10-29,2024-10-30,2024-11-05,1008.24,1018.07,ema,4,-9.7,0.98,0.58,7.25,-0.06,False
360ONE,2024-11-06,2024-11-07,2024-11-08,1042.55,1028.39,ema,1,-8.95,-1.36,-1.76,1.38,-2.55,False
360ONE,2025-06-13,2025-06-16,2025-07-10,1127.68,1181.7,ema,18,-8.58,4.79,4.39,11.74,-3.5,False
360ONE,2025-11-28,2025-12-01,2025-12-04,1178.06,1145.25,ema,3,-5.44,-2.79,-3.19,1.16,-3.79,False
360ONE,2025-12-23,2025-12-24,2026-01-09,1183.13,1173.19,ema,11,-5.58,-0.84,-1.24,2.61,-2.16,False
360ONE,2026-01-13,2026-01-14,2026-01-16,1128.85,1183.13,ema,1,-6.11,4.81,4.41,2.55,-0.47,False
360ONE,2026-01-16,2026-01-19,2026-01-21,1187.01,1117.71,ema,2,-6.43,-5.84,-6.24,2.86,-5.9,False
360ONE,2026-01-30,2026-02-02,2026-02-03,1085.7,1143.36,ema,1,-6.85,5.31,4.91,3.02,-2.25,False
360ONE,2026-02-03,2026-02-04,2026-02-06,1136.4,1125.47,ema,2,-7.39,-0.96,-1.36,2.53,-1.03,False
360ONE,2026-02-25,2026-02-26,2026-03-02,1128.05,1048.91,ema,2,-6.24,-7.02,-7.42,0.73,-3.67,False
3MINDIA,2025-11-06,2025-11-07,2025-11-25,34993.22,34598.93,ema,12,-5.67,-1.13,-1.53,3.1,-1.66,False
5PAISA,2024-01-01,2024-01-02,2024-01-15,604.65,656.25,ema,9,-7.18,8.53,8.13,25.44,0.0,False
5PAISA,2024-01-19,2024-01-23,2024-01-24,630.0,607.0,ema,1,-11.5,-3.65,-4.05,1.34,-4.75,False
AADHARHFC,2025-07-23,2025-07-24,2025-07-28,518.75,525.0,ema,2,-6.01,1.2,0.8,0.01,-4.59,False
AADHARHFC,2025-07-28,2025-07-29,2025-08-04,514.0,497.9,ema,4,-6.71,-3.13,-3.53,1.14,-3.34,False
AADHARHFC,2025-08-06,2025-08-07,2025-08-14,494.0,498.9,ema,5,-5.98,0.99,0.59,4.36,-0.61,False
AADHARHFC,2025-10-24,2025-10-27,2025-10-28,525.0,513.45,ema,1,-5.15,-2.2,-2.6,0.17,-2.86,False
AARTIDRUGS,2025-07-15,2025-07-16,2025-07-31,528.22,514.54,ema,11,-7.32,-2.59,-2.99,6.21,-4.52,False
AARTIDRUGS,2025-09-12,2025-09-15,2025-09-26,505.98,493.35,ema,9,-7.18,-2.5,-2.9,5.08,-1.09,False
AARTIDRUGS,2025-09-29,2025-09-30,2025-10-01,482.41,483.9,ema,1,-7.6,0.31,-0.09,0.78,-0.99,False
AARTIDRUGS,2025-10-06,2025-10-07,2025-10-15,496.63,502.35,ema,6,-6.72,1.15,0.75,4.37,-0.51,False
AARTIDRUGS,2025-10-16,2025-10-17,2025-10-24,521.8,505.04,ema,4,-5.96,-3.21,-3.61,0.0,-3.74,False
AARTIIND,2026-02-05,2026-02-06,2026-02-24,451.2,442.35,ema,12,-6.74,-1.96,-2.36,5.21,-3.03,False
AARTIPHARM,2025-08-19,2025-08-20,2025-08-26,850.89,826.66,ema,4,-9.42,-2.85,-3.25,2.78,-3.51,False
AARTIPHARM,2025-08-29,2025-09-01,2025-09-19,842.93,897.1,ema,14,-8.41,6.43,6.03,12.0,-2.59,False
AARTIPHARM,2025-10-08,2025-10-09,2025-10-10,836.03,832.98,ema,1,-6.02,-0.36,-0.76,2.06,-0.83,False
AARTIPHARM,2025-11-03,2025-11-04,2025-11-10,860.13,798.31,gap,3,-5.15,-7.19,-7.59,0.92,-3.43,False
ABB,2024-05-02,2024-05-03,2024-06-05,6543.28,7655.13,ema,22,-5.18,16.99,16.59,30.63,-1.07,False
