Rank,Ticker,Sector,Industry,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50
1,CUPID,Consumer Defensive,Household & Personal Products,410.74,99,99,99,99,262.71,286990923352.4109,16.24,32542926,42650569,34305621
2,UFBL,Consumer Cyclical,Restaurants,295.56,99,99,95,78,798.1,26377447312.692505,4.55,233449,165022,210528
3,YASHO,Basic Materials,Specialty Chemicals,260.2,99,98,75,16,4201.3,37024343040.0,28.76,119865,55534,51524
4,RPTECH,Technology,Electronics & Computer Distribution,232.49,99,99,97,87,896.7,51391852921.221436,10.32,867311,653115,1630026
5,HFCL,Technology,Communication Equipment,229.93,99,99,99,37,212.97,301232411401.5382,-7.2,28400006,25728078,29650228
6,CPPLUS,Industrials,Building Products & Equipment,229.31,99,99,99,91,3764.8,417591397040.1636,-2.62,162074,193683,281933
7,BHAGYANGR,Basic Materials,Copper,228.93,99,99,99,97,380.65,12359668109.436035,-11.95,106551,109366,123806
8,ATHERENERG,Consumer Cyclical,Auto Manufacturers,225.54,99,98,99,98,1466.2,476379241743.90015,9.01,5921471,5365792,4841876
9,SKYGOLD,Consumer Cyclical,Luxury Goods,217.7,99,97,92,82,779.6,101241059861.35034,14.07,1620788,1367599,1388120
10,SANSERA,Consumer Cyclical,Auto Parts,213.4,99,98,97,98,3812.4,198736639962.55078,10.26,220286,237081,266865
11,KABRAEXTRU,Industrials,Specialty Industrial Machinery,210.84,99,81,45,58,510.75,13177764177.885498,33.49,715298,386537,243823
12,DEEDEV,Industrials,Metal Fabrication,208.67,99,99,99,30,626.2,46889218680.05017,-17.61,156765,116135,151891
13,KSHINTL,Industrials,Electrical Equipment & Parts,207.83,99,99,98,72,900.6,60197552492.09595,-3.16,212183,291371,353874
14,RUBICON,Healthcare,Drug Manufacturers - General,207.52,99,99,95,89,1596.3,250973038843.66113,2.33,167476,250298,613206
15,UNIVCABLES,Industrials,Electrical Equipment & Parts,207.26,99,92,97,63,1693.4,42841858152.9104,21.74,357161,192382,256997
16,INDOTECH,Industrials,Electrical Equipment & Parts,207.01,99,98,98,5,3804.4,39561623481.44531,-4.34,20284,31587,29061
17,SHILPAMED,Healthcare,Drug Manufacturers - Specialty & Generic,205.93,99,96,92,39,807.55,118561699246.67334,24.24,5329371,2407345,1961428
18,UEL,Technology,Solar,204.09,99,54,78,99,270.67,16005070171.527603,23.03,45388,18371,13828
19,SBCL,Industrials,Metal Fabrication,201.82,99,93,86,73,1105.05,43531494643.17627,35.76,1902902,924993,726926
20,SHREEJISPG,Industrials,Marine Shipping,197.58,99,97,95,96,662.65,101954241364.45178,5.35,573272,910164,995013
21,INDSWFTLAB,Healthcare,Drug Manufacturers - Specialty & Generic,197.21,98,99,91,96,237.24,19782885307.114105,-4.51,438985,846245,1160574
22,SAKAR,Healthcare,Drug Manufacturers - Specialty & Generic,196.68,98,98,99,96,904.8,17608218069.943237,-5.75,122417,166302,150475
